,forecast,lower,upper,ci_width,ci_width_pct
2026-06-30,388.69135,362.6662050808825,416.5840647082914,53.917859627408916,13.871638844339735
2026-07-01,390.40216,353.95456687425474,430.6028549988018,76.64828812454704,19.633161865191827
2026-07-02,392.1405,347.7849726584355,442.1530144402531,94.36804178181762,24.064854580639487
2026-07-03,393.91647,342.93244659454365,452.48033409457247,109.54788750002882,27.809927967125013
2026-07-06,395.7245,338.9161288157759,462.05493494728137,123.13880613150548,31.11730764255054
2026-07-07,397.55115,335.4816740300027,471.1044658533976,135.6227918233949,34.11455172235942
2026-07-08,399.38098,332.4728084729756,479.75402581888477,147.28121734590917,36.87737378302689
2026-07-09,401.19928,329.78489496316297,488.07833396404476,158.2934390008818,39.455065593748955
2026-07-10,402.99393,327.3445793080932,496.12584251044683,168.7812632023536,41.881837887233374
2026-07-13,404.75513,325.0983856519911,503.9296410724486,178.83125542045747,44.18257941947405
2026-07-14,406.4761,323.00702517511786,511.5146447110339,188.50761953591604,46.37606426045552
2026-07-15,408.15247,321.04110914067195,518.9006348785276,197.85952573785568,48.47686644259122
2026-07-16,409.78165,319.1783349024242,526.1039977756292,206.925662873205,50.49656677530394
2026-07-17,411.36307,317.40203523598717,533.1395347910832,215.737499555096,52.444547537927924
2026-07-20,412.89703,315.69925129335917,540.0201607470473,224.3209094536881,54.32853499774536
2026-07-21,414.38492,314.06013284308847,546.7579055253622,232.6977726822737,56.15498114309388
2026-07-22,415.8284,312.4768226283907,553.3634671136467,240.886644485256,57.9293392859306
2026-07-23,417.22964,310.9432123088576,559.8468453026904,248.90363299383284,59.65626750415264
2026-07-24,418.59058,309.45410904035543,566.216654880651,256.7625458402956,61.33978174770659
2026-07-27,419.91333,308.00536798607476,572.4809471024295,264.4755791163547,62.98337303727628
2026-07-28,421.19983,306.59341234445895,578.6467970024919,272.05338465803294,64.5900985378685
2026-07-29,422.45172,305.2150677141025,584.7203353169699,279.50526760286743,66.16265328842819
2026-07-30,423.67035,303.86744617105745,590.7067933277218,286.83934715666436,67.70342738209413
2026-07-31,424.85706,302.54808983702566,596.6109977583021,294.06290792127646,69.21455204778195
2026-08-03,426.0128,301.25462389826254,602.4368762352143,301.18225233695176,70.69793715657372
2026-08-04,427.13837,299.98490481864025,608.1878833762555,308.20297855761527,72.15530202526736
2026-08-05,428.2345,298.7369780195496,613.8670401528351,315.1300621332855,73.58820092477131
2026-08-06,429.3016,297.508937267086,619.4767456110833,321.96780834399726,74.99804436453124
2026-08-07,430.3403,296.2992143693833,625.0194604836389,328.7202461142556,76.38611697719698
2026-08-10,431.35092,295.10623506587774,630.4970735377925,335.3908384719148,77.75359264421252
2026-08-11,432.3337,293.9285267572642,635.9111809240821,341.98265416681795,79.10154736507499
2026-08-12,433.28912,292.7649070861008,641.2635532121703,348.49864612606956,80.43097026823777
2026-08-13,434.21747,291.6142168028899,646.5556165633013,354.9413997604114,81.74277308126977
2026-08-14,435.11917,290.4754918826057,651.788871648836,361.3133797662303,83.0377983156795
2026-08-17,435.99445,289.3477258623804,656.9644057252468,367.6166798628664,84.31682637325186
2026-08-18,436.84384,288.2302256476391,662.0837265549065,373.85350090726746,85.5805817425349
2026-08-19,437.66766,287.1222152675208,667.1479027146664,380.02568744714563,86.8297384238216
2026-08-20,438.46643,286.02313090898645,672.1582628939847,386.1351319849982,88.0649246967874
2026-08-21,439.24054,284.9323920036539,677.1158948554621,392.1835028518082,89.28672732551074
2026-08-24,439.9905,283.84955464115603,682.0220249562719,398.1724703151159,90.49569527988808
2026-08-25,440.71695,282.7742842402096,686.8779813757088,404.1036971354992,91.69234303967373
2026-08-26,441.42023,281.7061348430872,691.684676864057,409.97854202096977,92.87715353691883
2026-08-27,442.10092,280.6448395382883,696.4433239834777,415.79848444518944,94.05058078398858
2026-08-28,442.75964,279.59018732100475,701.1551579798465,421.5649706588418,95.21305222723447
2026-08-31,443.3969,278.54194248763554,705.8212471676545,427.279304680019,96.36497086049889
2026-09-01,444.01328,277.49991935664,710.4426875632181,432.9427682065781,97.50671712771334
2026-09-02,444.60922,276.46392208137206,715.020459688472,438.5565376070999,98.63865063972983
2026-09-03,445.18533,275.4338375281123,719.5556752260846,444.12183769797235,99.76111172706158
2026-09-04,445.7422,274.40957524719425,724.0494342746761,449.6398590274818,100.87442284728363
